group,Date,Time,open,high,low,close,vol,transaction,vwap,dollar_returns,dollar_returns_log,ema_fast,ema_slow,EWMAC,periodCORR,periodCOV,periodKURT,periodSKEW,periodVAR,Target,bar,sine,leadsine,periodVolStd,VolAdjEMA,longs,shorts,shortFCs,longFCs,FCs,shifted_leadsine,diff_leadsine,position,trend_following,prev_position,new_trade,trade_number,IntraTrade_P_DD,position_stoploss_start,stop_loss,position_with_stoploss,prev_position_with_stoploss,PL,CumPL,Signals,Trades,commission,NetCumPL,NetPL,MaxEquity
5282,2019-08-01,01:09:18,155.40625,155.4375,155.3125,155.4375,286,44443.4375,155.3966346153846,0.03125,0.00020106564861155363,155.3530364081094,155.54476534768327,-0.1917289395738635,0.9999999999999976,0.005566406250000001,-1.1172668513388768,-0.20575279705556965,0.005566406250000014,-1,5282,0.2665938396819118,0.8700261681128547,0.07460835241445836,-25.698053015403183,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.9103477727076249,0.04032160459477019,3.0,-1.0,3.0,0.0,897.0,31.25,0,0,3.0,3.0,93.75,19625.0,0.0,0.0,10037.5,9587.5,93.75,281.25
5283,2019-08-01,01:17:48,155.4375,155.46875,155.375,155.375,285,44291.3125,155.40811403508772,-0.0625,-0.0004021717327482577,155.35791720630732,155.5395417985238,-0.18162459221647964,0.9999999999999988,0.00322265625,1.0743801652892582,0.2669003066972995,0.0032226562500000037,0,5283,0.3510811193048759,0.9103477727076249,0.056768444139328,-31.993935181791233,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.9415910220478649,0.03124324934024003,3.0,-1.0,3.0,0.0,897.0,-31.25,0,0,3.0,3.0,-187.5,19437.5,0.0,0.0,10037.5,9400.0,-187.5,93.75
5284,2019-08-01,01:37:07,155.375,155.40625,155.375,155.375,286,44441.28125,155.38909527972027,0.0,0.0,155.3617133826835,155.53447897395384,-0.1727655912703483,0.9999999999999988,0.00322265625,1.0743801652892582,0.2669003066972995,0.0032226562500000037,0,5284,0.4276811149594297,0.9415910220478649,0.056768444139328,-30.433384935885513,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.9649505106146364,0.023359488566771502,3.0,-1.0,3.0,0.0,897.0,-31.25,0,0,3.0,3.0,0.0,19437.5,0.0,0.0,10037.5,9400.0,0.0,0.0
5285,2019-08-01,01:58:28,155.375,155.40625,155.3125,155.375,286,44434.78125,155.366368006993,0.0,0.0,155.36466596430938,155.52957192860143,-0.1649059642920463,1.0000000000000004,0.00341796875,2.000000000000002,1.1454053224818188,0.0034179687499999983,0,5285,0.4967556601015907,0.9649505106146364,0.05846339666834282,-28.206702601893255,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.9828581906946011,0.017907680079964683,3.0,-1.0,3.0,0.0,897.0,-31.25,0,0,3.0,3.0,0.0,19437.5,0.0,0.0,10037.5,9400.0,0.0,0.0
5286,2019-08-01,02:12:21,155.375,155.46875,155.375,155.46875,286,44449.40625,155.41750437062936,0.09375,0.0006031969620909905,155.38779575001843,155.52770048464447,-0.13990473462604314,1.0000000000000004,0.00341796875,2.000000000000002,1.1454053224818188,0.0034179687499999983,-1,5286,0.5646212466918643,0.9828581906946011,0.05846339666834282,-23.930312400374056,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.9804740190000627,-0.0023841716945384173,-3.0,-1.0,3.0,0.0,897.0,62.5,0,0,-3.0,3.0,281.25,19718.75,0.0,6.0,10052.5,9666.25,266.25,266.25
5287,2019-08-01,02:42:24,155.46875,155.5,155.40625,155.4375,286,44461.125,155.458479020979,-0.03125,-0.00020102522934273281,155.39884113890324,155.52492508511696,-0.12608394621372554,0.9999999999999988,0.005175781249999999,-2.7162691349234627,0.19669686464742817,0.005175781250000006,0,5287,0.5542482219654473,0.9804740190000627,0.0719429027076334,-17.525557277847724,0.0,-17.525557277847724,-1.7492620907222083,-0.4674205891246751,-2.0,0.9905477885723712,0.010073769572308544,3.0,-1.0,-3.0,1.0,898.0,-31.25,0,0,3.0,-3.0,93.75,19812.5,1.0,6.0,10067.5,9745.0,78.75,266.25
5288,2019-08-01,03:27:14,155.4375,155.4375,155.375,155.375,285,44293.375,155.415350877193,-0.0625,-0.0004021717327482577,155.39354310803586,155.52031200557494,-0.12676889753907972,0.9999999999999983,0.005078125,-2.507396449704141,-0.2276977550124023,0.005078125000000009,0,5288,0.6034305881801271,0.9905477885723712,0.07126096406869618,-17.78938850965774,0.0,-17.78938850965774,-1.7797022819161417,-0.4674205891246751,-2.0,0.9978098195374305,0.007262030965059285,2.0,-1.0,3.0,1.0,899.0,-62.5,0,0,2.0,3.0,-187.5,19625.0,0.0,1.0,10070.0,9555.0,-190.0,78.75
5289,2019-08-01,04:05:10,155.375,155.5,155.375,155.46875,286,44458.75,155.45017482517483,0.09375,0.0006031969620909905,155.41025575069457,155.5187254823265,-0.10846973163191365,1.0000000000000013,0.00712890625,-0.6811784574967147,0.18252325730899832,0.00712890624999999,-1,5289,0.6587843575997504,0.9978098195374305,0.0844328505381643,-12.846863624826275,0.0,-12.846863624826275,-1.2094460562112868,-0.4674205891246751,-2.0,0.9948668553575787,-0.002942964179851848,-2.0,-1.0,2.0,0.0,899.0,31.25,0,0,-2.0,2.0,187.5,19812.5,0.0,4.0,10080.0,9732.5,177.5,177.5
5290,2019-08-01,04:55:46,155.46875,155.53125,155.4375,155.5,286,44470.25,155.4903846153846,0.03125,0.000200984826322248,155.43019891720692,155.51814931363955,-0.0879503964326318,1.0000000000000016,0.00947265625,-1.9162503985545751,0.5560984445536761,0.009472656249999982,-1,5290,0.7750310658369418,0.9948668553575787,0.0973275718899839,-9.03653453227501,0.0,-9.03653453227501,-0.7698197644590337,-0.4674205891246751,-1.0,0.929284728800381,-0.06558212655719764,-2.0,-1.0,-2.0,1.0,900.0,31.25,0,0,-2.0,-2.0,-62.5,19750.0,1.0,0.0,10080.0,9670.0,-62.5,177.5
5291,2019-08-01,05:33:22,155.5,155.53125,155.375,155.375,285,44300.0625,155.4388157894737,-0.125,-0.0008041817884132385,155.41793249116097,155.51374471937373,-0.0958122282127647,1.000000000000001,0.01005859375,-2.7175040060326126,-0.29948795306857195,0.01005859374999999,0,5291,0.9182834453435779,0.929284728800381,0.10029254084925752,-9.553275587740181,0.0,-9.553275587740181,-0.8294400619431523,-0.4674205891246751,-1.0,0.7820515965965137,-0.14723313220386736,-1.0,-1.0,-2.0,0.0,900.0,-93.75,0,0,-1.0,-2.0,250.0,20000.0,0.0,1.0,10082.5,9917.5,247.5,247.5
5292,2019-08-01,05:55:23.662370,155.375,155.375,155.21875,155.25,287,44568.96875,155.29257404181186,-0.125,-0.0008048290172872896,155.3806141597919,155.50562949723917,-0.12501533744728022,1.0000000000000038,0.006542968749999999,-3.214524392960571,0.5016571985664496,0.006542968749999974,0,5292,0.9936726117356492,0.7820515965965137,0.08088861940965475,-15.455244305029955,0.0,-15.455244305029955,-1.5103945302309845,-0.4674205891246751,-2.0,0.45510660604774883,-0.32694499054876486,1.0,-1.0,-1.0,0.0,900.0,-218.75,0,0,1.0,-1.0,125.0,20125.0,-1.0,2.0,10087.5,10037.5,120.0,247.5
5293,2019-08-01,06:04:52.112538,155.25,155.3125,155.25,155.28125,286,44409.1875,155.27687937062936,0.03125,0.00020126798900577114,155.3585332353937,155.49872551270875,-0.14019227731503747,1.0000000000000089,0.004589843750000001,4.151199637845155,2.0315314900210537,0.00458984374999996,-1,5293,0.9514429789010166,0.45510660604774883,0.06774838558962096,-20.693080151642004,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,-0.295973169520968,-0.7510797755687169,-2.0,1.0,1.0,1.0,901.0,31.25,0,0,-2.0,1.0,31.25,20156.25,-1.0,3.0,10095.0,10061.25,23.75,120.0
5294,2019-08-01,06:13:08.242629,155.28125,155.28125,155.1875,155.1875,286,44390.59375,155.21186625874125,-0.09375,-0.0006039255342082939,155.32052584975068,155.48914934308698,-0.16862349333629822,1.0000000000000038,0.006542968749999999,-3.214524392960571,0.5016571985664496,0.006542968749999974,0,5294,0.4661411130789251,-0.295973169520968,0.08088861940965475,-20.846380438552963,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,-0.8725503783927935,-0.5765772088718255,-3.0,1.0,-2.0,1.0,902.0,-93.75,0,0,-3.0,-2.0,187.5,20343.75,0.0,1.0,10097.5,10246.25,185.0,185.0
5295,2019-08-01,06:31:56.870715,155.1875,155.1875,155.03125,155.0625,286,44363.0,155.1153846153846,-0.125,-0.0008058018163659142,155.26318677202832,155.47602167099203,-0.2128348989637061,1.0000000000000027,0.00537109375,-2.6280991735537214,-0.5814564991516646,0.005371093749999985,0,5295,-0.27154755601562597,-0.8725503783927935,0.07328774624724099,-29.04099387170315,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,-0.9469167244646841,-0.07436634607189063,-3.0,1.0,-3.0,0.0,902.0,-218.75,0,0,-3.0,-3.0,375.0,20718.75,0.0,0.0,10097.5,10621.25,375.0,375.0
5296,2019-08-01,06:50:54.964321,155.0625,155.125,155.0625,155.09375,286,44359.375,155.1027097902098,0.03125,0.00020151133569434876,155.22553415602204,155.46425946573075,-0.23872530970871253,1.0000000000000049,0.004199218749999999,-1.963223363980531,0.23551393640880577,0.004199218749999977,-1,5296,-0.8968911844408575,-0.9469167244646841,0.06480137922914896,-36.839541464779366,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,-0.7587446043891487,0.1881721200755354,-3.0,1.0,-3.0,0.0,902.0,-187.5,0,0,-3.0,-3.0,-93.75,20625.0,0.0,0.0,10097.5,10527.5,-93.75,375.0
5297,2019-08-01,07:02:45.107661,155.09375,155.09375,155.03125,155.09375,287,44506.65625,155.07545731707316,0.0,0.0,155.19624878801716,155.4528591744775,-0.25661038646035195,1.0000000000000018,0.0056640625,-0.9453032104637344,-0.6013638196305312,0.00566406249999999,0,5297,-0.9971144890969822,-0.7587446043891487,0.07525996611745178,-34.09653228648577,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,-0.5426248272372368,0.21611977715191188,3.0,1.0,-3.0,0.0,902.0,-187.5,0,0,3.0,-3.0,-0.0,20625.0,0.0,6.0,10112.5,10512.5,-15.0,-15.0
5298,2019-08-01,07:12:06.648407,155.09375,155.09375,155.0,155.03125,286,44349.28125,155.06741695804195,-0.0625,-0.00040306328639161393,155.15958239068001,155.4398865844936,-0.28030419381357774,0.9999999999999982,0.00224609375,1.4555765595463157,-1.118079933149378,0.0022460937500000033,0,5298,-0.9776458381973123,-0.5426248272372368,0.04739297152532223,-59.14467584371877,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,-0.32583519568758024,0.21678963154965658,3.0,-1.0,3.0,1.0,903.0,-62.5,0,0,3.0,3.0,-187.5,20437.5,0.0,0.0,10112.5,10325.0,-187.5,-15.0
5299,2019-08-01,07:28:29.502174,155.03125,155.09375,155.0,155.09375,287,44492.0,155.02439024390245,0.0625,0.00040306328639161393,155.14495297052892,155.42923622804767,-0.2842832575187515,1.0000000000000018,0.003125,-2.32421875,0.052407843222651435,0.0031249999999999954,-1,5299,-0.8989178248998656,-0.32583519568758024,0.0559016994374947,-50.85413509416056,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,-0.09884152241596429,0.22699367327161596,3.0,-1.0,3.0,0.0,903.0,0.0,0,0,3.0,3.0,187.5,20625.0,0.0,0.0,10112.5,10512.5,187.5,187.5
5300,2019-08-01,07:40:48.009681,155.09375,155.15625,155.0625,155.125,286,44362.8125,155.114729020979,0.03125,0.0002014707370570079,155.14051897707805,155.41987511333852,-0.27935613626047484,1.0000000000000018,0.003125,-2.32421875,0.052407843222651435,0.0031249999999999954,-1,5300,-0.7735357225088445,-0.09884152241596429,0.0559016994374947,-49.97274484880929,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.13389414943221858,0.2327356718481829,3.0,-1.0,3.0,0.0,903.0,31.25,0,0,3.0,3.0,93.75,20718.75,0.0,0.0,10112.5,10606.25,93.75,187.5
5301,2019-08-01,07:57:26.422883,155.125,155.15625,155.03125,155.0625,287,44512.21875,155.09483885017423,-0.0625,-0.00040298207275135667,155.12318142661627,155.40887895600505,-0.28569752938878423,1.0000000000000007,0.00244140625,-1.2000000000000004,0.0,0.0024414062499999983,0,5301,-0.6060622755208123,0.13389414943221858,0.04941058844013091,-57.82111454409291,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.465897812550679,0.3320036631184604,3.0,-1.0,3.0,0.0,903.0,-31.25,0,0,3.0,3.0,-187.5,20531.25,0.0,0.0,10112.5,10418.75,-187.5,93.75
5302,2019-08-01,08:12:46.195003,155.03125,155.09375,155.03125,155.0625,286,44346.75,155.05856643356643,0.0,0.0,155.109696665146,155.39822114197415,-0.28852447682814386,1.0000000000000073,0.0016601562499999997,-1.4878892733564004,0.5413870509510853,0.0016601562499999876,0,5302,-0.2962358238569799,0.465897812550679,0.0407450150325164,-70.81221508886131,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.6186704372426364,0.15277262469195735,3.0,-1.0,3.0,0.0,903.0,-31.25,0,0,3.0,3.0,0.0,20531.25,0.0,0.0,10112.5,10418.75,0.0,0.0
5303,2019-08-01,08:27:31.628651,155.0625,155.0625,155.0,155.03125,286,44341.96875,155.0418487762238,-0.03125,-0.00020155195069726517,155.09226407289134,155.3869297222211,-0.29466564932977235,1.0000000000000073,0.0016601562499999997,-1.4878892733564004,0.5413870509510853,0.0016601562499999876,0,5303,-0.1180728165704406,0.6186704372426364,0.0407450150325164,-72.31943566461212,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.7652161095229418,0.14654567228030546,3.0,-1.0,3.0,0.0,903.0,-62.5,0,0,3.0,3.0,-93.75,20437.5,0.0,0.0,10112.5,10325.0,-93.75,0.0
5304,2019-08-01,08:39:14.660557,155.03125,155.0625,154.96875,154.96875,287,44493.0625,155.02809233449477,-0.0625,-0.0004032258119153198,155.06481650113773,155.37406265384507,-0.30924615270734535,1.0000000000000058,0.00126953125,-0.17751479289940755,-0.4047960089109363,0.0012695312499999929,0,5304,0.08587290017427598,0.7652161095229418,0.03563048203434796,-86.79258181498372,0.0,-20.0,-2.034757136339064,-0.4674205891246751,-3.0,0.8406135992616155,0.07539748973867366,3.0,-1.0,3.0,0.0,903.0,-125.0,0,0,3.0,3.0,-187.5,20250.0,0.0,0.0,10112.5,10137.5,-187.5,-93.75
5305,2019-08-01,08:50:04.703682,154.96875,155.03125,154.96875,155.0,286,44331.1875,155.0041520979021,0.03125,0.0002016332298397927,155.05041283421824,155.36255303372678,-0.31214019950854777,,,,,,-1,5305,0.21140959684986627,0.8406135992616155,,,0.0,0.0,0.2727931097101266,-0.4674205891246751,-0.0,0.9010804077175603,0.060466808455944765,3.0,-1.0,3.0,0.0,903.0,-93.75,0,0,3.0,3.0,93.75,20343.75,3.0,0.0,10112.5,10231.25,93.75,93.75
5306,2019-08-01,08:50:04.703682,155.0,155.0,155.0,155.0,2,310.0,155.0,0.0,0.0,155.03920998216975,155.35139755576597,-0.3121875735962192,,,,,,0,5306,0.3305217627994012,0.9010804077175603,,,0.0,0.0,0.2727931097101266,-0.4674205891246751,-0.0,,,-0.0,-1.0,3.0,0.0,903.0,-93.75,0,0,-0.0,3.0,0.0,20343.75,0.0,3.0,10120.0,10223.75,-7.5,93.75
